,name,description
839,Tripe Dice Exchange,"Triple Dice Exchange is a digital cryptocurrency exchange owned and operated by Mythology Holdings PTE Limited. CEO of Mythology Holdings PTE Limited, TAKUYA HASHIYADA (Japanese).

Triple Dice Exchange is an advanced cryptocurrency (digital assets) trading platform created by our passion for the distributed ledger technology and digital assets. Triple Dice Exchange, a comprehensive cryptocurrency exchange, provides advanced exchange functionalities to allow users to buy and sell Bitcoins and other Altcoins."
840,THXCHAIN Digital Platform,"THXCHAIN Digital Platform #TDP Collectively we create an end-to-end solution for the emerging digital asset market, specifically the trend of tokenized Assets— more commonly referred to as security tokens & Crypto Future Binary Options Esport Tokens & Tokenised Global assets like AAPL Netflix Tesla Crude Gold"
841,IDAX,IDAX is an international exchange originating from GBC (Global Blockchain Research Centre). Providing IDAX users from all around the world with convenient and fast digital cryptocurrency transactions.
842,IXX,
843,Luno,"Luno used to be known as BitX. The company was established in 2013, but in January 2017 rebranded as Luno and joined the fintech of UK’s Financial Conduct Authority (FCA). Nowadays the company, has set up its headquarters in London and is focusing on expanding its services in Europe. Additionally, Luno has offices in Singapore and Cape Town and offers its exchange services in Indonesia, Malaysia, Nigeria, South Africa for the local currencies."
844,Bitfxt,
845,OpenLedger DEX,"OpenLedger DEX is a cryptocurrency trading platform founded in 2014. The platform caters to traders of all sizes and experience levels. The DEX, by the way, stands for “decentralized exchange”."
846,WeiDex,"WeiDex Foundation’s ultimate aim is to fix the broken blockchain ecosystem on the application layer. The team has one mission, we strive to deliver the best services and experience to the traders who use our ecosystem. We are all about the idea that nobody should depend on third-parties because it is better for users to have full control over their assets."
847,Fibercoin Exchange,We have young and enthusiastic team. We have a good understanding of digital currency trading and know the needs of our customers. A trader must have a wide choice of assets for trading. Our list of trading pairs is constantly growing. We are always open to collaborating with cryptocurrency owners. Our interface is simple and straightforward for both experienced traders and beginners.
848,Bybit (Spot),"Exchange assets (transparency): <br>
$1 914 380 943 - according to nansen.ai, <br>
$1 856 104 389 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
849,BITENGEN,
850,Amsterdex,
851,BitPhantom,
852,AltMarkets,"AltMarkets is a Cryptocurrency exchange based in UK, founded in 2018. "
853,CryptoxxPro Exchange,Cryptoxxpro is a latest and fastest growing Crypto currency exchange which gives its users freedom and ease to earn profits through trading. Cryptoxxpro offers wide range of currencies for trade.
854,SpectroCoin Pro,"Re-launched in 2020, SpectroCoin Pro is a centralized trading and exchange platform under the SpectroCoin brand. Our exchange platform is built on years of expertise in the crypto and FinTech fields, with a team that strived to meet the needs of today's cryptocurrency users.

SpectroCoin Pro also features trading tools and fee schedules that are some of the most competitive in the current crypto market. Here, market makers are not associated with fees and earn 0.05% rebates trading crypto-crypto and 0.1% crypto-fiat while trading. What's even better is that BNK trading pairs are free to trade for all types of traders."
855,VinDAX,"The tool and resources that VinDAX provide can increase traders and investors' profit potential, performance and understandings."
856,ABCC,"ABCC Digital Asset Exchange (ABCC) is a world-class exchange launched in 2018, offering digital asset investment and trading solutions for users globally. Calvin Cheng founded ABCC Exchange. Cheng worked with co-founders who have a range of experience plus successful track records in financial services, management consulting, and internet firms. "
857,Pancakeswap V3 (BSC),
858,Bitget,"Bitget is the first cryptocurrency exchange to introduce both forward and reverse contract. It offers the most cryptocurrency variety for forward contract and we have been though many extreme market volatility conditions without server crashing. Up to date, the number of registered users has exceeded 785,000."
859,Vertex Protocol,"Vertex Protocol is a cross-margined, orderbook DEX built on Arbitrum to support spot, perpetuals, and money markets on one integrated trading platform. Vertex provides a transparent, self-custodied crypto trading experience with the convenience and speed of a centralized exchange."
860,CryptloCEX,CryptloCEX is a centralized exchange with it's native token Cryptlo (CLO).
861,Bequant,"BeQuant is a new cryptocurrency exchange that is promising to pioneer regulation in the sector. The team behind the exchange has stated in a recent press release that ""BeQuant team of FCA compliant brokers and blockchain specialists has been in the business since 2012"". BeQuant’s core product is partnered with established technology Multiexchange who aggregates liquidity and works with large institutions."
862,Hashfort,
863,FameEX,"FameEX is a crypto exchange founded in 2020 that offers spot trades, margin trades and derivatives such as futures trades and options trades. It also provides a built in trading strategy bot for strategies such as grid trading, and dollar cost averaging.

In addition to the multi-language web platform, there is a mobile app available for Android and iOS. FameEX also offers multi-language 24 hour customer support."
864,Eco Exchange,
865,Binance,"CEO Changpeng Zhao had previously founded Fusion Systems in 2005 in Shanghai; the company built high-frequency trading systems for brokers. In 2013 he joined Blockchain.info as the third member of the portfolio team. He also worked at OKCoin as CTO for less than a year, a platform for the site that trades between fiat and digital assets

The company was founded in China but moved its servers and headquarters to Japan in anticipation of the Chinese government's ban on cryptocurrency trading in September 2017. In March 2018 the company established its offices in Taiwan

In January 2018 it successfully raised its token (BNB) to a market capitalisation of $1.3 billion.

In March 2018, Binance announced its intentions to open an office in Malta following tighter controls in Japan and China. In April 2018, Binance signed a Memorandum of Understanding (MoU) with the Government of Bermuda.4 Months later, a similar MoU was signed with the Malta Stock Exchange to develop a platform for token trade security. In 2019, the company announced Binance Jersey, a separate entity from its parent Binance.com exchange, with the goal of expanding its European influence. Jersey based exchange offers fiat-to-cryptocurrency pairs, including the Euro and the British Pound
In January 2019, Binance announced that it would partner with an Israel-based payment processor Simplex to enable purchases with debit cards and credit cards, including Visa and Mastercard. Purchases are made with Simplex's policies and local bank policies being limited to Bitcoin, Ethereum, Litecoin and Ripple XRP

In May 2019, Binance announced that it was the victim of a ""large-scale security breach"" in which hackers stole 7,000 Bitcoin with an estimated value of $40 million. Changpeng Zhao said the hackers ""used various techniques, including phishing, viruses and other attacks"" and structured their transaction ""in a way that passed our existing security controls."" The site promised to reimburse affected customers
Binance is not officially regulated by global entities. It is not known exactly in which country the company's headquarters are located. On 21 February 2020 the Malta Financial Services Authority issued a public statement noting that Binance ""is not licensed by MFSA to work in the cryptocurrency sphere, so it is not intended for regulatory oversight from MFSA. 

On 28 October 2020, Forbes contributors published leaked documents confirming that Binance and Changpeng Zhao (also known as CZ) have created an elaborate corporate structure designed to premeditatedly deceive US regulators and achieve hidden profits from cryptocurrency investors
On April 20, 2021, Brian Brooks who served as the head of the Trump administration's Office of the Comptroller of the Currency (OCC) became the new CEO of Binance.US <br> <br>

Exchange assets (transparency): <br>
$57 007 879 467 - according to nansen.ai, <br>
$58 945 086 909 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
